nome,categoria,modalita,frequenza,orario,dosi,tempi_posa,durata_utilizzo,note
GOCCE POTENTIA 100ML,Topico Cosmetico,Dopo il lavaggio,Descrizione nel Protocollo,,2 pescate - 1ml totale,5 minuti - Non risciacquare,,"Azione vasodilatatore e stimolazione capelli vellus + ricrescite
"
INTEGRATORE ANTI-DHT - 60 CAPSULE,Integratore,1 volta al giorno,Tutti i giorni,a scelta,1 compressa,,6 mesi,"Supporto sintesi cheratinica, normalizzazione livelli di DHT e 5° Alfa reduttasi"
PROBIOTICO MICROBIOTA,Probiotico,1 volta al giorno,Tutti i giorni,a scelta,1 bustina,,3 mesi,Riequilibrio microbiota intestinale e Microbioma Cuoio Capelluto
SH. PURGATIO 300ML,Detergente,Applicare e massaggiare,Uso continuativo alternato,,5ml/7ml - circa 1 nocciola,5 minuti,,"Libera osti follicolari e detossina il cuoio capelluto, per forfore e pruriti "
SPRAY FORTIS 100ML,Topico Cosmetico,Dopo il lavaggio,Descrizione nel Protocollo,,10 puff a circa 1cm dal cuoio capelluto,5 minuti - Non risciacquare,,"Stimolante ricrescite con Kopexil, ancoraggio bulbi ai follicoli"
SH. REPARATOR CELLULARIS 300ML,Detergente,Applicare e massaggiare,Uso continuativo alternato,,5ml/7ml - circa 1 nocciola,5 minuti,,Aiuta a ricostruire le cellule apiteliali e il mantello idrolipidico
SH. FORTIS 300ML,Detergente,Applicare e massaggiare,Uso continuativo alternato,,5ml/7ml - circa 1 nocciola,5 minuti,,"Ancora i bulbi ai follicoli e deterge delicatamente il cuoio capelluto, leggera azione anti desquamazione"
SH. POTENTIA 300ML,Detergente,Applicare e massaggiare,Uso continuativo alternato,,5ml/7ml - circa 1 nocciola,5 minuti,,"Azione stimolante e antisebo, rinforza la fibra capillare"
SH. COMPENSATIO 300ML,Detergente,Applicare e massaggiare,Uso continuativo alternato,,5ml/7ml - circa 1 nocciola,5 minuti,,"Purificante e compensante del cuoio capelluto, dona freschezza e pulizia totale duratura, soprattutto se i capelli si sporcano facilmente"
SPRAY PURGATIO 100ML,Topico Cosmetico,Dopo il lavaggio,Descrizione nel Protocollo,,8/10 puff a circa 1cm dal cuoio capelluto,5 minuti - Non risciacquare,,Proprietà disinfettanti e purificanti con azione calmante e pulizia degli osti follicolari
LIQUET CUTIS 100ML,Topico Cosmetico,Prima del lavaggio,Descrizione nel Protocollo,,3 cucchiaini da caffè,3 minuti massaggiando il cuoi capelluto,,"Scrub all'aloe vera, molto delicato, ideale per eliminare le impurità prima di detergere il cuoio capelluto, azione emoliente e riparatrice."
LUTUM CUTIS 250ML,Topico Cosmetico,Dopo il lavaggio o secondo le indicazioni fornite dal Tricologo,Descrizione nel Protocollo,,1 cucchiaio da minestra,10-15 minuti,,"Azione antisettica, antibatterica, antimicotica. e antimicrobica. Ottimo elemento da utilizzare come base di Protocollo"
UNGUENTUM CELLULARIS 300ML,Topico Cosmetico,Dopo il lavaggio,Descrizione nel Protocollo,,1 cucchiaio da minestra,10 minuti,,"Argilla cute e lunghezze con proprietà eccellenti nel portare sali minerali, vitamine e proteine sul cuoio capelluto e i capelli. Azione di ricostruzione cellule epidermiche."
CEROTUM POTENTIA,Dermo Cosmetico,Applicare sul polso a 4 dita di distanza dalla mano o alla base del collo tra l'attaccatura dei capelli e il lobo orecchio,1 giorno a destra e 1 giorno a sinistra - alternare sempre,Preferibilmente di notte,1 cerotto monouso,Tra le 8 e le 12 ore,56 giorni,"Cerotti Monouso che rilasciano proteine, vitamine e sali minerali, nutrono il follicolo mentre dormi, supporto potente e funzionale."
R1 - OLI ESSENZIALI 8ML,Topico Cosmetico,Prima del lavaggio,Descrizione nel Protocollo,,1 fiala intera,5 minuti,"da 6, 12 o 24 settimane","oli ad azione lenitiva e purificativa del cuoio capelluto, abbinati sempre al proprio detergente, per forti pruriti, rossori, dolenze cutanee gravi."
R2 - OLI ESSENZIALI 8ML,Topico Cosmetico,Dopo il lavaggio,Descrizione nel Protocollo,,1 fiala intera,5 minuti - No risciacquo,,Azione finale dopo lo shampoo per mantenere il cuoio capelluto con le sue difese immunitarie e libero da fastidi cronici.
R - DETERGENTE 450ML,Detergente,Applicare direttamente sopra la R1 e massaggiare,Uso continuativo,,7/10 ml - 1 nocciola,5-10 minuti,,"Detergente esclusivo per le R1 e R2, azione di detersione profonda e azione lenitiva, rinfrescante."
R GOCCE 50ML,Topico Cosmetico,Dopo il lavaggio,1 volta al giorno - tranne quando applichi la R2,,1 o 2 pescate - circa 1ml,5 minuti - No risciacquo,,Gocce ad azione calmante e rinfrescante con principi attivi antimicrobici e antimicotici.
